,Id,Name,Year,Gender,State,Count
548186,548187,Tiffanie,2010,F,CA,8
548187,548188,Trista,2010,F,CA,8
548188,548189,Tristyn,2010,F,CA,8
548189,548190,Vannessa,2010,F,CA,8
548190,548191,Vianca,2010,F,CA,8
548191,548192,Victory,2010,F,CA,8
548192,548193,Violetta,2010,F,CA,8
548193,548194,Vita,2010,F,CA,8
548194,548195,Viviann,2010,F,CA,8
548195,548196,Vivica,2010,F,CA,8
548196,548197,Xenia,2010,F,CA,8
548197,548198,Xitlalli,2010,F,CA,8
548198,548199,Yanira,2010,F,CA,8
548199,548200,Yatzil,2010,F,CA,8
548200,548201,Yatziri,2010,F,CA,8
548201,548202,Yesica,2010,F,CA,8
548202,548203,Yuki,2010,F,CA,8
548203,548204,Yvanna,2010,F,CA,8
548204,548205,Zamira,2010,F,CA,8
548205,548206,Zayda,2010,F,CA,8
548206,548207,Zayla,2010,F,CA,8
548207,548208,Zeina,2010,F,CA,8
548208,548209,Zelda,2010,F,CA,8
548209,548210,Zinnia,2010,F,CA,8
548210,548211,Zuleika,2010,F,CA,8
548211,548212,Zuleyka,2010,F,CA,8
548212,548213,Aadya,2010,F,CA,7
548213,548214,Aaliya,2010,F,CA,7
548214,548215,Abbigale,2010,F,CA,7
548215,548216,Abriana,2010,F,CA,7
548216,548217,Adalina,2010,F,CA,7
548217,548218,Adaya,2010,F,CA,7
548218,548219,Agnes,2010,F,CA,7
548219,548220,Ailany,2010,F,CA,7
548220,548221,Ailed,2010,F,CA,7
548221,548222,Aishwarya,2010,F,CA,7
548222,548223,Aislyn,2010,F,CA,7
548223,548224,Akshita,2010,F,CA,7
548224,548225,Alahna,2010,F,CA,7
548225,548226,Aleesa,2010,F,CA,7
548226,548227,Aleeya,2010,F,CA,7
548227,548228,Aleeza,2010,F,CA,7
548228,548229,Alesha,2010,F,CA,7
548229,548230,Aliyana,2010,F,CA,7
548230,548231,Althea,2010,F,CA,7
548231,548232,Aly,2010,F,CA,7
548232,548233,Alyce,2010,F,CA,7
548233,548234,Amairani,2010,F,CA,7
548234,548235,Amaiyah,2010,F,CA,7
548235,548236,Amalie,2010,F,CA,7
548236,548237,Amayrani,2010,F,CA,7
548237,548238,Ameya,2010,F,CA,7
548238,548239,Amna,2010,F,CA,7
548239,548240,Amor,2010,F,CA,7
548240,548241,Analiese,2010,F,CA,7
548241,548242,Anam,2010,F,CA,7
548242,548243,Anamarie,2010,F,CA,7
548243,548244,Andreya,2010,F,CA,7
548244,548245,Angelena,2010,F,CA,7
548245,548246,Angelic,2010,F,CA,7
548246,548247,Angelin,2010,F,CA,7
548247,548248,Aniela,2010,F,CA,7
548248,548249,Annaly,2010,F,CA,7
548249,548250,Annalynn,2010,F,CA,7
548250,548251,Anny,2010,F,CA,7
